Index,ActualPrice,PredictedPrice
0,21547.699004975126,20885.93062807476
1,13333.333333333334,14498.43381386606
2,6028.950819672131,5802.647358685674
3,5315.580985915493,5001.982953216686
4,7767.857142857143,8456.486251689406
5,7434.482758620689,7164.976446392859
6,6569.2307692307695,5923.63693656354
7,6400.0,7031.9800069182265
8,4866.8707482993195,5241.638325252422
9,29116.683741648107,28652.93566045613
10,7888.686131386861,8109.700853349985
11,10763.461538461539,11761.422363066622
12,1866.124824684432,1791.3132043275903
13,3150.193220338983,3381.188916915197
14,2297.7030481809243,2159.3015894081764
15,80587.53709198812,73147.32649879795
16,85000.0,81426.56580436262
17,74000.0,68459.47486003583
18,90000.0,98103.11230399931
